City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Guanica,PR,2021-10-11 23:32:46,17.9716,-66.908,78.31,89,100,4.0,overcast clouds
60,Kushima,JP,2021-10-11 23:32:46,31.4583,131.2333,76.51,78,74,7.29,broken clouds
61,Kempele,FI,2021-10-11 23:32:47,64.9131,25.5034,45.12,100,90,2.3,overcast clouds
62,La Ronge,CA,2021-10-11 23:30:58,55.1001,-105.2842,37.65,93,90,10.36,mist
63,Hilo,US,2021-10-11 23:30:12,19.7297,-155.09,80.33,83,75,10.36,light rain
64,Namwala,ZM,2021-10-11 23:32:47,-15.7504,26.4384,68.9,54,0,10.02,clear sky
65,Huarmey,PE,2021-10-11 23:30:48,-10.0681,-78.1522,64.17,85,47,11.74,scattered clouds
66,Souillac,MU,2021-10-11 23:30:21,-20.5167,57.5167,72.36,100,40,3.44,scattered clouds
67,Jadu,LY,2021-10-11 23:32:48,31.953,12.0261,60.94,57,48,2.86,scattered clouds
68,East London,ZA,2021-10-11 23:30:34,-33.0153,27.9116,69.85,44,69,5.66,broken clouds
69,Berlevag,NO,2021-10-11 23:30:58,70.8578,29.0864,44.35,98,100,6.6,light rain
70,Busselton,AU,2021-10-11 23:30:19,-33.65,115.3333,48.04,62,93,14.5,overcast clouds
71,Shakiso,ET,2021-10-11 23:32:48,5.75,38.9167,60.6,94,100,2.24,overcast clouds
72,Albany,US,2021-10-11 23:30:17,42.6001,-73.9662,63.81,83,50,3.2,scattered clouds
73,Atuona,PF,2021-10-11 23:30:15,-9.8,-139.0333,78.33,71,14,17.87,few clouds
74,Thompson,CA,2021-10-11 23:30:23,55.7435,-97.8558,46.56,100,90,3.44,mist
75,Sorland,NO,2021-10-11 23:23:06,67.667,12.6934,42.87,71,100,23.96,light rain
76,Northam,GB,2021-10-11 23:32:50,51.0333,-4.2167,51.67,93,19,5.91,few clouds
77,Hermanus,ZA,2021-10-11 23:30:19,-34.4187,19.2345,58.89,82,100,3.56,overcast clouds
78,Baruun-Urt,MN,2021-10-11 23:32:50,46.6806,113.2792,37.08,41,0,7.14,clear sky
79,Macusani,PE,2021-10-11 23:32:51,-14.0833,-70.4333,41.27,80,72,4.61,broken clouds
