City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2021-10-08 03:01:50,-33.0153,27.9116,66.09,88,100,10.71
68,Mehriz,IR,2021-10-08 03:01:50,31.5917,54.4318,63.73,34,0,4.54
69,Maraa,BR,2021-10-08 03:01:51,-1.8333,-65.3667,73.54,98,100,1.88
70,Lerwick,GB,2021-10-08 03:01:51,60.1545,-1.1494,53.6,93,91,11.18
71,Narsaq,GL,2021-10-08 03:01:51,60.9167,-46.05,43.02,50,90,7.54
72,Peniche,PT,2021-10-08 03:01:52,39.3558,-9.3811,70.61,92,11,11.79
73,Padang,ID,2021-10-08 03:01:45,-0.9492,100.3543,82.45,64,77,2.48
74,Jeremie,HT,2021-10-08 03:01:52,18.65,-74.1167,80.53,81,1,4.07
75,Balakhta,RU,2021-10-08 03:01:53,55.38,91.6,35.02,98,100,11.03
76,Jasidih,IN,2021-10-08 03:01:54,24.5167,86.65,84.04,68,55,5.41
77,Mataura,NZ,2021-10-08 03:01:54,-46.1927,168.8643,54.48,64,100,5.41
78,Grand Gaube,MU,2021-10-08 03:01:54,-20.0064,57.6608,68.38,80,80,4.0
79,Ponta Do Sol,PT,2021-10-08 03:01:55,32.6667,-17.1,70.43,77,87,2.33
80,Pangnirtung,CA,2021-10-08 03:01:55,66.1451,-65.7125,33.76,84,40,1.07
81,Leningradskiy,RU,2021-10-08 03:01:56,69.3833,178.4167,26.19,97,100,1.83
82,Barrow,US,2021-10-08 03:01:56,71.2906,-156.7887,32.02,80,90,9.22
83,Hudson Bay,CA,2021-10-08 03:01:56,52.85,-102.3842,47.1,38,77,2.89
84,Tuatapere,NZ,2021-10-08 03:01:57,-46.1333,167.6833,54.82,86,98,0.49
85,Port Hardy,CA,2021-10-08 03:01:57,50.6996,-127.4199,47.16,83,100,13.96
86,Klaksvik,FO,2021-10-08 03:01:57,62.2266,-6.589,52.72,83,99,20.13
87,Iqaluit,CA,2021-10-08 03:01:17,63.7506,-68.5145,34.7,81,13,8.99
88,Tigil,RU,2021-10-08 03:01:57,57.8,158.6667,36.09,79,97,15.68
89,Luderitz,NA,2021-10-08 03:01:58,-26.6481,15.1594,55.54,76,0,6.64
90,Hobart,AU,2021-10-08 03:00:19,-42.8794,147.3294,68.25,49,40,4.0
91,Pisco,PE,2021-10-08 02:57:42,-13.7,-76.2167,63.01,88,29,18.41
92,Srednekolymsk,RU,2021-10-08 03:01:58,67.45,153.6833,25.41,65,24,3.74
93,General Roca,AR,2021-10-08 03:01:59,-39.0333,-67.5833,57.02,34,0,8.63
94,Parrita,CR,2021-10-08 03:01:59,9.5201,-84.3225,80.51,91,100,5.37
95,Artvin,TR,2021-10-08 03:02:00,41.1667,41.8333,47.48,75,3,3.38
96,Koumac,NC,2021-10-08 03:02:00,-20.5667,164.2833,75.16,63,15,10.0
97,Kaeo,NZ,2021-10-08 03:02:00,-35.1,173.7833,65.21,56,1,8.99
98,Isiro,CD,2021-10-08 03:02:01,2.7739,27.616,65.5,98,98,0.89
99,Dudinka,RU,2021-10-08 03:02:01,69.4058,86.1778,34.99,99,100,9.35
100,Tezu,IN,2021-10-08 03:02:02,27.9167,96.1667,85.57,54,4,3.13
101,Caraquet,CA,2021-10-08 03:02:03,47.7941,-64.9386,56.34,78,5,12.35
102,Toora-Khem,RU,2021-10-08 03:02:03,52.4675,96.11,32.97,69,100,4.21
103,Santa Luzia,BR,2021-10-08 03:02:04,-19.7697,-43.8514,72.5,80,71,5.32
104,Hamilton,US,2021-10-08 03:02:04,39.1834,-84.5333,70.99,92,90,3.44
105,Mahebourg,MU,2021-10-08 03:02:05,-20.4081,57.7,68.25,76,44,6.87
106,Castro,BR,2021-10-08 03:01:54,-24.7911,-50.0119,54.18,98,100,8.1
107,Merauke,ID,2021-10-08 03:02:05,-8.4667,140.3333,83.44,76,91,9.26
108,Loanda,AO,2021-10-08 02:59:30,-8.8368,13.2343,73.4,83,75,5.75
109,Qaanaaq,GL,2021-10-08 03:02:06,77.484,-69.3632,23.58,65,100,7.25
110,Ilinskiy,RU,2021-10-08 03:02:06,55.619,38.1182,30.78,100,20,0.0
111,Namibe,AO,2021-10-08 03:02:07,-15.1961,12.1522,65.41,70,56,7.31
112,Sao Filipe,CV,2021-10-08 03:02:07,14.8961,-24.4956,79.23,78,21,5.21
113,Khani,GE,2021-10-08 03:02:08,41.9563,42.9566,49.57,72,2,5.88
114,Vasilsursk,RU,2021-10-08 03:02:08,56.1275,46.0072,33.67,67,2,3.91
115,Bluff,NZ,2021-10-08 03:02:09,-46.6,168.3333,54.81,81,100,14.79
116,Bardiyah,LY,2021-10-08 03:02:09,31.7561,25.0865,67.5,71,0,6.15
117,Nizwa,OM,2021-10-08 03:02:09,22.9333,57.5333,80.69,53,0,0.63
118,Kosh-Agach,RU,2021-10-08 03:02:10,50.0,88.6667,20.26,68,99,0.94
119,Kirkwall,GB,2021-10-08 03:02:10,58.9848,-2.9587,55.96,92,75,0.0
120,Sorland,NO,2021-10-08 03:02:11,67.667,12.6934,43.88,70,100,23.67
121,Saldanha,ZA,2021-10-08 03:02:11,-33.0117,17.9442,58.51,83,46,13.18
122,Cayenne,GF,2021-10-08 03:02:12,4.9333,-52.3333,82.09,81,20,1.01
123,Walvis Bay,NA,2021-10-08 03:02:12,-22.9575,14.5053,52.09,76,0,5.84
124,Camacha,PT,2021-10-08 03:02:12,33.0833,-16.3333,67.42,73,40,8.05
125,Fairbanks,US,2021-10-08 03:02:13,64.8378,-147.7164,38.1,95,90,4.61
126,Ribeira Grande,PT,2021-10-08 03:02:14,38.5167,-28.7,69.46,72,9,7.52
127,Chuy,UY,2021-10-08 03:02:14,-33.6971,-53.4616,46.92,80,4,5.28
128,Provideniya,RU,2021-10-08 03:02:15,64.3833,-173.3,37.51,81,75,17.9
129,Norman Wells,CA,2021-10-08 03:02:15,65.282,-126.8329,26.33,97,98,2.55
130,Bainbridge,US,2021-10-08 03:01:24,47.6262,-122.5212,51.48,80,61,1.99
131,Grindavik,IS,2021-10-08 03:02:15,63.8424,-22.4338,48.67,93,90,19.57
132,Flinders,AU,2021-10-08 03:02:16,-34.5833,150.8552,73.8,63,67,13.29
133,Sakakah,SA,2021-10-08 03:02:17,29.9697,40.2064,70.2,29,0,10.0
134,Melioratorov,RU,2021-10-08 03:02:17,57.2107,65.6077,30.58,93,0,8.95
135,Ahipara,NZ,2021-10-08 03:02:18,-35.1667,173.1667,62.19,72,0,9.82
136,Ancud,CL,2021-10-08 03:02:18,-41.8697,-73.8203,47.43,90,0,3.58
137,Maputo,MZ,2021-10-08 03:00:08,-25.9653,32.5892,67.23,82,100,5.99
138,Along,IN,2021-10-08 03:02:19,28.1667,94.7667,80.78,71,45,0.47
139,Marsh Harbour,BS,2021-10-08 03:02:19,26.5412,-77.0636,82.4,69,68,10.45
140,Sigiriya,LK,2021-10-08 03:02:21,7.9518,80.7426,82.18,65,93,12.33
141,Mehamn,NO,2021-10-08 03:02:21,71.0357,27.8492,39.15,70,40,19.57
142,Koplik,AL,2021-10-08 03:02:22,42.2136,19.4364,60.33,79,100,4.9
143,Bathsheba,BB,2021-10-08 03:02:22,13.2167,-59.5167,81.64,81,100,21.09
144,Nkayi,CG,2021-10-08 03:02:22,-4.1841,13.2884,75.6,85,96,2.46
145,Basco,PH,2021-10-08 03:02:23,20.4487,121.9702,83.39,79,99,13.85
146,Soderhamn,SE,2021-10-08 03:02:24,61.3037,17.0592,49.03,91,100,7.0
147,Belmonte,BR,2021-10-08 03:02:24,-15.8631,-38.8828,73.47,89,5,7.18
148,Trelleborg,SE,2021-10-08 03:02:24,55.3751,13.1569,50.95,85,96,6.42
149,Yairipok,IN,2021-10-08 03:02:25,24.6667,94.0667,78.78,73,18,1.59
150,Tadine,NC,2021-10-08 03:02:25,-21.55,167.8833,74.34,59,36,13.4
151,Mount Gambier,AU,2021-10-08 03:02:25,-37.8333,140.7667,63.7,45,100,13.06
152,Santa Rosa,PH,2021-10-08 03:02:27,14.3122,121.1114,88.09,68,93,2.06
153,Khandyga,RU,2021-10-08 03:02:39,62.6667,135.6,32.94,79,99,8.55
154,Codrington,AU,2021-10-08 03:02:40,-38.2667,141.9667,62.82,54,100,17.22
155,Burnie,AU,2021-10-08 03:02:40,-41.0667,145.9167,54.95,85,99,14.79
156,Upernavik,GL,2021-10-08 03:02:45,72.7868,-56.1549,24.91,47,34,4.14
157,Tasiilaq,GL,2021-10-08 03:02:53,65.6145,-37.6368,32.16,52,17,8.68
158,Ellisras,ZA,2021-10-08 03:02:54,-23.6649,27.7443,64.78,83,100,11.65
159,Bacolod,PH,2021-10-08 03:00:07,10.6667,122.95,77.59,88,100,6.67
160,Paamiut,GL,2021-10-08 03:02:57,61.994,-49.6678,35.49,65,0,7.29
161,Kodiak,US,2021-10-08 03:02:58,57.79,-152.4072,47.71,87,1,4.61
162,Ocampo,MX,2021-10-08 03:02:58,21.65,-101.5,55.63,82,8,8.21
163,Mount Isa,AU,2021-10-08 03:02:59,-20.7333,139.5,100.17,13,0,6.91
164,Lavrentiya,RU,2021-10-08 03:02:59,65.5833,-171.0,35.15,98,100,10.45
165,Haines Junction,CA,2021-10-08 03:03:00,60.7522,-137.5108,32.86,91,100,1.74
166,Alice Springs,AU,2021-10-08 03:02:19,-23.7,133.8833,87.35,30,0,5.75
167,Ofunato,JP,2021-10-08 03:03:07,39.0717,141.7167,69.33,86,100,2.84
168,Taquari,BR,2021-10-08 03:03:07,-29.7997,-51.8644,58.01,88,1,3.15
169,Havelock,US,2021-10-08 03:03:08,34.8791,-76.9013,73.38,95,51,4.0
170,Zhigansk,RU,2021-10-08 03:03:08,66.7697,123.3711,25.07,77,60,12.77
171,Pakhtakoron,TJ,2021-10-08 03:03:08,40.1571,68.7466,55.38,39,100,2.1
172,Gwadar,PK,2021-10-08 03:03:09,25.1216,62.3254,81.99,67,0,8.32
173,Windhoek,NA,2021-10-08 03:03:09,-22.5594,17.0832,58.1,23,0,6.02
174,Olafsvik,IS,2021-10-08 03:03:13,64.8945,-23.7142,43.66,90,100,30.2
175,Kaniama,CD,2021-10-08 03:03:15,-7.5667,24.1833,67.89,84,11,1.9
176,Owando,CG,2021-10-08 03:03:15,-0.4819,15.8999,71.13,99,80,2.51
177,Berlevag,NO,2021-10-08 03:03:16,70.8578,29.0864,37.4,69,96,27.04
178,Lorengau,PG,2021-10-08 03:01:18,-2.0226,147.2712,85.73,65,66,11.5
179,Tautira,PF,2021-10-08 03:03:17,-17.7333,-149.15,80.62,71,23,1.79
180,Takoradi,GH,2021-10-08 03:03:17,4.8845,-1.7554,76.14,91,53,1.97
181,Ishurdi,BD,2021-10-08 03:03:17,24.1333,89.0833,84.83,75,94,3.27
182,Bachaquero,VE,2021-10-08 03:03:18,9.9694,-71.1494,80.87,79,11,2.68
183,La Ronge,CA,2021-10-08 03:03:18,55.1001,-105.2842,44.28,49,10,5.75
184,Umm Kaddadah,SD,2021-10-08 03:03:18,13.6017,26.6876,82.29,18,76,13.67
185,Vardo,NO,2021-10-08 03:03:26,70.3705,31.1107,37.6,70,64,30.38
186,Krasnoselkup,RU,2021-10-08 03:03:28,65.7,82.4667,41.25,95,100,13.91
187,Sept-Iles,CA,2021-10-08 03:03:28,50.2001,-66.3821,48.06,92,100,9.19
188,Wilmington,US,2021-10-08 02:59:54,34.2257,-77.9447,71.85,85,9,5.97
189,Kazachinskoye,RU,2021-10-08 03:03:29,57.6953,93.2761,36.12,98,100,7.85
190,Hilo,US,2021-10-08 03:03:29,19.7297,-155.09,80.33,73,90,10.36
191,Coihaique,CL,2021-10-08 03:03:30,-45.5752,-72.0662,44.55,76,0,2.3
192,Sydney,AU,2021-10-08 03:01:24,-33.8679,151.2073,74.8,61,20,1.99
193,Zhangye,CN,2021-10-08 03:03:30,38.9342,100.4517,57.99,39,12,3.15
194,San Patricio,US,2021-10-08 03:03:32,28.017,-97.5169,79.83,57,0,7.45
195,Kapaa,US,2021-10-08 03:03:41,22.0752,-159.319,82.38,74,40,3.0
196,Butaritari,KI,2021-10-08 03:03:42,3.0707,172.7902,82.74,67,15,12.86
197,Maunabo,PR,2021-10-08 03:03:47,18.0072,-65.8993,82.71,92,76,10.89
198,Jewar,IN,2021-10-08 03:03:51,28.1333,77.55,77.47,43,1,5.17
199,Krasnyy Yar,RU,2021-10-08 03:03:51,46.5331,48.3456,33.73,41,0,11.27
200,Salalah,OM,2021-10-08 03:03:53,17.0151,54.0924,78.89,89,20,3.44
201,Mpika,ZM,2021-10-08 03:04:13,-11.8343,31.4529,57.43,38,88,5.1
202,Beloha,MG,2021-10-08 03:04:15,-25.1667,45.05,60.31,60,1,8.28
203,Kloulklubed,PW,2021-10-08 03:04:15,7.0419,134.2556,77.5,81,100,23.09
204,Saint-Georges,GD,2021-10-08 03:04:15,12.0564,-61.7485,81.39,80,15,12.33
205,Pekan,MY,2021-10-08 03:04:19,3.4836,103.3996,86.02,64,87,6.82
206,Geraldton,AU,2021-10-08 03:04:20,-28.7667,114.6,70.21,56,75,18.41
207,Hit,IQ,2021-10-08 03:04:21,33.6416,42.8251,69.21,18,0,8.25
208,Isangel,VU,2021-10-08 03:04:23,-19.55,169.2667,76.73,62,1,11.54
209,Moranbah,AU,2021-10-08 03:04:23,-22.0016,148.0466,89.73,28,0,6.85
210,Marsa Matruh,EG,2021-10-08 03:04:25,31.3525,27.2453,66.65,73,0,2.77
211,Tyulyachi,RU,2021-10-08 03:04:25,55.8913,50.2399,28.6,76,18,5.01
212,Talnakh,RU,2021-10-08 03:04:26,69.4865,88.3972,33.03,100,100,5.32
213,Thinadhoo,MV,2021-10-08 03:04:27,0.5333,72.9333,83.93,66,99,10.56
