City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Kimbe,PG,87.57,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
272,Wanning,CN,75.04,overcast clouds,18.8003,110.3967,Paradise Hotel
279,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
280,Iberia,US,82.47,overcast clouds,29.9502,-91.7507,back to back rv park
285,Jiwani,PK,79.36,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
287,Kirakira,SB,84.09,scattered clouds,-10.4544,161.9205,SanBiz Lodge
290,Coruripe,BR,76.57,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
305,Kaura Namoda,NG,81.45,scattered clouds,12.5898,6.5779,Moonlight Hotel
312,Wewak,PG,84.45,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
313,Turan,VN,78.85,mist,16.0678,108.2208,Sun River Hotel
319,Koudougou,BF,81.43,broken clouds,12.25,-2.3667,VAREK OCADES
320,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
323,Brookhaven,US,82.06,broken clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
324,Honiara,SB,86.14,broken clouds,-9.4333,159.95,Heritage Park Hotel
325,Corn Island,NI,83.62,few clouds,12.1694,-83.0418,Big Fish Guest House
333,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
334,Puerto Ayacucho,VE,77.92,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
335,Rumonge,BI,77.31,overcast clouds,-3.9736,29.4386,Kwetu Guest House
336,Tawau,MY,78.93,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
340,Jaisalmer,IN,81.01,clear sky,26.9147,70.9181,Hotel Fifu
343,Ko Samui,TH,83.01,overcast clouds,9.5357,99.9357,The Passage
346,Labuhan,ID,80.58,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
356,Lufilufi,WS,82.18,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
362,Cobija,BO,83.21,scattered clouds,-11.0267,-68.7692,Hotel Obelisco
363,Huautla,MX,78.13,few clouds,21.0333,-98.2833,Hotel Huautla
368,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
377,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
379,Zhuhai,CN,77.97,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
380,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
382,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
383,Bonthe,SL,77.25,moderate rain,7.5264,-12.505,Bonthe Holiday Village
385,Sorong,ID,82.76,overcast clouds,-0.8833,131.25,waigo splash hotel
387,Lazaro Cardenas,MX,82.18,scattered clouds,17.9583,-102.2,quinta antigua
389,Moerai,PF,75.51,light rain,-22.4333,-151.3333,Le Manotel
391,Bilma,NE,81.16,clear sky,18.6853,12.9164,Expeditions Ténére voyages
393,Gewane,ET,80.62,broken clouds,10.1664,40.6453,Ayelu pension
398,Fare,PF,79.99,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
407,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
409,Tubuala,PA,84.33,overcast clouds,9.5167,-79.0333,Río Nabagana
412,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
414,Wiwili,NI,88.54,broken clouds,13.6268,-85.8254,Hospedaje gladita
416,Nago,JP,79.23,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
417,Yarada,IN,80.92,mist,17.65,83.2667,Jeevan
420,Bandarbeyla,SO,78.28,overcast clouds,9.4942,50.8122,JABIR HOTEL
423,Bambanglipuro,ID,78.89,overcast clouds,-7.95,110.2833,Puri Brata
426,Brasileia,BR,83.46,scattered clouds,-11.0161,-68.7481,Pousada Tobias
435,Balabac,PH,83.19,moderate rain,7.9868,117.0645,Sing and Swing Lodge
441,Akhmim,EG,81.9,clear sky,26.5622,31.745,برج الماسة السكني
442,Kualakapuas,ID,75.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
445,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
449,Guantanamo,CU,84.27,broken clouds,20.1444,-75.2092,Hotel Guantánamo
451,Sibolga,ID,76.53,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
454,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
455,Biltine,TD,86.29,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
456,Finschhafen,PG,83.82,broken clouds,-6.6024,147.8681,Cossam Guest House
460,Benton Harbor,US,76.01,haze,42.1167,-86.4542,The Boulevard Inn & Bistro
462,Barinas,VE,76.55,heavy intensity rain,8.6226,-70.2075,Hotel Mastranto Suite
465,Puerto Palomas,MX,81.73,scattered clouds,31.7667,-107.6167,Hotel San Carlos
469,Ewa Beach,US,89.55,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
472,Kingston,JM,83.35,scattered clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
473,Qui Nhon,VN,78.71,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
474,Harper,LR,77.83,overcast clouds,4.375,-7.7169,Screensaver
475,Nargana,PA,81.59,overcast clouds,9.4428,-78.5906,Dubbir
476,Umm Lajj,SA,87.44,clear sky,25.0213,37.2685,Moon light Furnished Units
478,Banda Aceh,ID,79.56,overcast clouds,5.5577,95.3222,Sulthan Hotel International
480,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
482,Manado,ID,81.37,few clouds,1.487,124.8455,Aryaduta Hotel
485,Boyolangu,ID,78.28,broken clouds,-8.1181,111.8935,Yos ega cv
487,Morant Bay,JM,83.82,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
490,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
491,Yanam,IN,75.78,broken clouds,16.7333,82.2167,The Regency Hotel
492,Madang,PG,85.37,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
497,Bluefields,NI,82.47,few clouds,12.0137,-83.7635,Flamingo Hotel and Casino
504,Tahoua,NE,87.4,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
505,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
510,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
511,Arlit,NE,85.23,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
512,Trairi,BR,78.96,scattered clouds,-3.2778,-39.2689,janelas do mar
517,Miraflores,MX,80.02,scattered clouds,19.2167,-98.8083,Hotel Mansión
521,San Juan,AR,76.21,few clouds,-31.5375,-68.5364,Hotel Provincial
523,Key Biscayne,US,82.02,scattered clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
525,Vila Do Maio,CV,77.79,few clouds,15.1333,-23.2167,Hotel Marilu
529,Kapit,MY,76.46,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
531,Buraydah,SA,75.65,clear sky,26.326,43.975,فندق راحة السلام
537,Sola,VU,80.62,few clouds,-13.8833,167.55,Leumerus Bungalows
539,Tual,ID,83.07,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
540,Hirara,JP,82.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
545,Brownsville,US,88.09,clear sky,25.9018,-97.4975,University Inn & Suites
547,Thongwa,MM,78.96,overcast clouds,16.7619,96.5278,U Poe Sann
549,Pedernales,DO,80.46,broken clouds,18.0384,-71.744,Hotel Costa Marina
552,Bushehr,IR,82.56,clear sky,28.9684,50.8385,Yas Hotel
555,Marana,US,85.01,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
561,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
567,Port Keats,AU,86.74,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
574,Hambantota,LK,79.97,overcast clouds,6.1241,81.1185,Bungalow 63
584,Saint-Marc,HT,81.28,few clouds,19.1082,-72.6938,Maguana Hotel
586,Sao Felix Do Xingu,BR,79.09,light rain,-6.6447,-51.995,Rio Xingu Camping
587,Shingu,JP,77.99,overcast clouds,33.7333,135.9833,Shingu UI Hotel
589,Barabai,ID,76.98,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
590,Sarangani,PH,83.75,overcast clouds,5.4033,125.4636,Ballistic Islet
592,Key West,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
600,Samarai,PG,81.37,broken clouds,-10.6167,150.6667,Nuli Sapi
606,Almeirim,BR,84.96,broken clouds,-1.5233,-52.5817,Ricácio Hotel
608,Mana,GF,79.14,scattered clouds,5.6592,-53.7767,LE SAMANA
610,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
615,Nouakchott,MR,75.13,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
622,Nichinan,JP,76.68,broken clouds,31.6,131.3667,Guest House Aki
632,Bani,DO,80.85,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
633,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
636,Bo Rai,TH,82.85,light rain,12.5728,102.5371,Baiboon Resort
640,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
645,Manacapuru,BR,81.18,light rain,-3.2997,-60.6206,Novo Hotel
648,Sinnamary,GF,80.4,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
